SerialNumber,TypeID,Description,LastCheckIn
10064366,3,Receiver,4/29/2016 14:00
10299983,3,Bldg. 1 3rd Floor by Chapel,10/21/2024 9:06
10293166,3,Bldg. 3 3rd Floor by Room 3319,10/21/2024 9:06
10299992,3,Bldg. 2 3rd Floor by Room 2311,10/21/2024 9:06
10300015,3,Bldg. 3 1st Floor by Room 3121,10/21/2024 9:08
10293273,3,Bldg. 3 1st Floor by Room 3105,10/21/2024 9:06
10293482,3,Bldg. 1 3rd Floor by Room 317,10/21/2024 9:07
10180940,3,Bldg. 2 2nd Floor by Room 2206,10/21/2024 9:06
10293241,3,Bldg. 3 2nd Floor by Room 3210,10/21/2024 9:06
10300447,3,Bldg. 1 2nd Floor by Room 214,10/21/2024 9:07
10293477,3,Bldg. 2 1st FL by Room 2117,10/21/2024 9:06
10293206,3,Bldg. 2 1st FL by Room 2101,10/21/2024 9:06
10180495,3,Bldg. 1 1st Floor by Room 118,10/21/2024 9:05
10287280,12,Rm 3108,10/21/2024 7:36
10261739,12,Rm 3116,10/21/2024 6:22
10286947,21,Rm 2321,10/21/2024 5:22
10261405,12,Rm 3107,10/21/2024 8:02
10192185,8,Rm 2116,10/21/2024 6:37
10205042,8,Rm 2114,10/21/2024 6:08
10261838,12,Rm 3106,10/21/2024 5:59
10262292,12,Rm 3105,10/21/2024 5:42
10329497,61,Rm 3206,10/21/2024 8:30
10192193,8,Rm 2101,10/21/2024 6:15
10260837,24,Rm 3207,9/24/2024 9:23
10261034,12,Rm 3123,10/21/2024 8:46
10328990,27,Rm 3303,10/21/2024 7:39
10260944,24,Rm 3225,10/21/2024 5:28
10262308,12,Rm 3111,10/21/2024 8:37
10328445,27,Rm 3329,10/21/2024 5:56
10261555,25,Rm 3309 B,10/21/2024 7:32
10286184,21,Rm 2307,10/21/2024 5:31
10261169,24,Rm 3201,10/21/2024 5:10
8804276,17,Rm 306,10/21/2024 5:33
10287276,12,Rm 3104,10/21/2024 5:58
10261286,37,Public Restroom by Room 3110 Right,10/21/2024 5:31
10260652,12,Rm 3112,10/21/2024 6:25
8803855,16,Rm 208,10/21/2024 5:42
10287272,12,Rm 3121,10/21/2024 6:52
10261158,24,Rm 3231 Left,10/21/2024 7:51
10286121,61,Rm 3223B,10/21/2024 8:53
10286571,12,Rm 3117,10/21/2024 7:56
10262296,12,Rm 3118,10/21/2024 5:31
10192133,49,Rm 2114,10/21/2024 5:41
10262076,24,Rm 3212,10/21/2024 6:37
10285697,27,Rm 3318,10/21/2024 6:46
10261409,12,Rm 3101,10/21/2024 7:41
8803806,16,Rm 206,10/21/2024 8:03
8637985,17,Rm 324,10/21/2024 6:18
8804309,16,Rm 230,10/21/2024 7:58
10327706,62,Rm 3311,10/21/2024 7:02
10328598,62,Rm 3315,10/21/2024 6:02
10328841,27,Rm 3305,10/21/2024 7:10
10327808,62,Rm 3316,10/21/2024 6:04
10328127,62,Rm 3317,10/21/2024 9:06
10287446,61,Rm 3219,10/21/2024 8:44
10329022,27,Rm 3308,10/21/2024 8:56
10286812,25,Rm 3309 A,10/21/2024 7:28
10287608,61,Rm 3221,10/21/2024 8:37
10328441,27,Rm 3314,10/21/2024 9:05
8861094,22,Rm 2214,10/21/2024 8:49
8804218,16,Rm 234,10/21/2024 5:41
8803802,16,Rm 220,10/21/2024 5:41
10261881,25,Rm 3305,10/21/2024 6:27
8803863,16,Rm 211,10/21/2024 8:29
10286199,21,Rm 2319,10/21/2024 5:20
8804292,16,Rm 226,10/21/2024 8:20
10286982,24,Rm 3209,10/21/2024 5:33
8804162,17,Rm 331,10/21/2024 5:29
10328433,27,Rm 3327,10/21/2024 7:56
10328804,27,Rm 3316,10/21/2024 6:47
9383014,3,Bldg. 1 1st Floor by Room 104,10/21/2024 9:08
6598066,11,Rm 2101,10/21/2024 8:23
10287426,27,Rm 3323,10/21/2024 5:40
10286201,21,Rm 2301,10/21/2024 7:17
10260998,24,Rm 3223,10/21/2024 8:18
9134598,32,Public Restroom by Dining Room,10/21/2024 6:21
10260848,24,Rm 3221,10/21/2024 7:56
10285861,21,Rm 2308,10/21/2024 5:27
10286261,61,Rm 3218,10/21/2024 6:52
10328951,27,Rm 3312A,10/21/2024 5:31
10164387,61,Rm 3212,10/21/2024 5:59
8804312,16,Rm 232,10/21/2024 5:39
6683028,11,Rm 2116,10/21/2024 8:42
8804174,17,Rm 325,10/21/2024 8:21
10260932,37,Public Restroom by Room 3110 Left,10/21/2024 7:11
10287612,61,Rm 3204,10/21/2024 5:23
10262398,12,Rm 3120,10/21/2024 8:09
10260849,24,Rm 3217,10/21/2024 8:37
10261002,24,Rm 3216,10/21/2024 5:39
10328594,62,Rm 3321,10/21/2024 7:33
10261923,24,Rm 3218,10/21/2024 8:52
10260836,24,Rm 3204,10/21/2024 6:11
10327816,62,Rm 3314,10/21/2024 8:08
10287268,12,Rm 3122,10/21/2024 6:24
10192160,8,Rm 2110,10/21/2024 8:24
10261152,24,Rm 3214,10/21/2024 5:14
10260990,24,Rm 3220,10/21/2024 7:18
10286337,25,Rm 3303,10/21/2024 9:02
8803800,16,Rm 223,10/21/2024 7:20
8804305,16,Rm 202,10/21/2024 5:55
10285678,61,Rm 3231,10/21/2024 5:51
8803712,16,Rm 205,10/21/2024 8:40
6211520,11,Rm 2111,10/21/2024 6:20
10261728,20,Rm 2201,10/21/2024 8:56
10262300,12,Rm 3119,10/21/2024 6:55
10286309,21,Rm 2317,10/21/2024 7:01
8804258,17,Rm 322,10/21/2024 7:29
10328833,27,Rm 3306,10/21/2024 8:40
10328629,61,Rm 3203,10/21/2024 6:57
8803704,16,Rm 216,10/21/2024 6:55
